Timestamp,Which Room were you in?,Provide your self rating for the activity. What is your name?,Provide a self evaluation of your work in the group. [Contributions & Attitude],Provide a self evaluation of your work in the group. [Cooperation with Others],"Provide a self evaluation of your work in the group. [Focus, Commitments]",Provide a self evaluation of your work in the group. [Team Role Fulfillment],Provide a self evaluation of your work in the group. [Ability to Communicate],Provide a self evaluation of your work in the group. [Accuracy],First-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Second-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Thrid-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Rator
11/12/21 9:22,Room N,,Three,Three,Three,Three,Three,Three,ratee-11,Three,Three,Three,Three,Three,Three,ratee-10,Three,Three,Three,Three,Three,Three,ratee-08,Three,Three,Three,Three,Two,Three,rator-02
11/12/21 9:22,Room M,,Three,Four,Three,Three,Four,Three,ratee-30,Four,Four,Four,Four,Three,Four,ratee-63,Four,Four,Three,Four,Three,Three,ratee-54,Four,Three,Four,Four,Four,Three,rator-10
11/12/21 9:22,Room T,,Three,Three,Four,Three,Four,Three,ratee-31,Four,Four,Four,Four,Four,Three,ratee-37,Three,Four,Four,Four,Four,Three,ratee-93,Three,Three,Three,Three,Four,Three,rator-37
11/12/21 9:22,Room P,,Three,Three,Three,Three,Three,Two,ratee-32,Four,Three,Three,Four,Three,Two,ratee-64,Three,Three,Three,Three,Three,Two,ratee-28,Two,Three,Three,Two,Two,Two,rator-15
11/12/21 9:23,Room R,,Three,Three,Three,Three,Three,Three,ratee-29,Four,Four,Four,Four,Four,Three,ratee-65,Four,Four,Four,Four,Four,Three,ratee-79,Four,Four,Four,Four,Four,Two,rator-38
11/12/21 9:23,Room M,,Three,Three,Two,,Four,Two,ratee-33,Four,Four,Four,Four,Four,Three,ratee-66,Four,Four,Four,Four,Four,Four,ratee-13,Four,Four,Four,Three,Four,Three,rator-46
11/12/21 9:23,Room R,,Four,Four,Four,Four,Four,Four,ratee-29,Four,Four,Four,Four,Four,Four,ratee-62,Four,Four,Four,Four,Four,Four,ratee-94,Four,Four,Four,Four,Four,Four,rator-34
11/12/21 9:23,Room N,,Three,Four,Four,Three,Four,Three,ratee-11,Three,Four,Three,Four,Four,Three,ratee-10,Three,Four,Three,Three,Four,Three,ratee-87,Three,Three,Three,Three,Four,Three,rator-39
11/12/21 9:23,Room Q,,Four,Four,Four,Three,Four,Four,ratee-34,Four,Four,Four,Three,Four,Four,ratee-27,Four,Four,Four,Three,Four,Four,ratee-95,Four,Four,Four,Three,Four,Four,rator-22
11/12/21 9:23,Room P,,Two,Two,Three,Two,Four,Three,ratee-32,Four,Four,Four,Four,Four,Four,ratee-64,Four,Four,Four,Four,Four,Four,ratee-06,Four,Four,Four,Four,Four,Four,rator-40
11/12/21 9:24,Room R,,Three,Three,Two,Three,Four,Two,ratee-35,Four,Three,Three,Four,Two,Two,ratee-67,Three,Four,Three,Three,Four,Four,ratee-91,Four,Four,Four,Four,Four,Four,rator-41
11/12/21 9:24,Room S,,Three,Three,Three,Three,Four,Four,ratee-36,Three,Three,Four,Four,Three,Three,ratee-03,Three,Three,Four,Four,Three,Four,ratee-59,Three,Three,Three,Four,Four,Three,rator-23
11/12/21 9:24,Room T,,Four,Four,Four,Four,Four,Four,ratee-31,Four,Four,Four,Four,Four,Four,ratee-37,Four,Four,Four,Four,Four,Four,ratee-81,Four,Four,Four,Four,Four,Four,rator-30
11/12/21 9:24,Room O,,Four,Four,Four,Four,Four,Four,ratee-01,Four,Four,Four,Four,Four,Four,ratee-68,Three,Four,Three,Four,Three,Four,ratee-96,Three,Three,Three,Three,Three,Three,rator-26
11/12/21 9:24,Room P,,Two,Two,Two,Two,Three,Two,ratee-32,Four,Four,Three,Three,Three,Three,ratee-06,Four,Four,Four,Three,Four,Three,ratee-28,Three,Three,Four,Four,Four,Three,rator-42
11/12/21 9:24,Room T,,Four,Four,Three,Four,Four,Three,ratee-31,Four,Three,Four,Four,Three,Three,ratee-14,Three,Three,Two,Three,Three,Two,ratee-93,Two,Three,Three,Two,Three,Two,rator-43
11/12/21 9:25,Room T,,Three,Three,Four,Three,Three,Three,ratee-37,Four,Four,Four,Four,Four,Four,ratee-69,Four,Four,Four,Four,Four,Four,ratee-97,Four,Four,Four,Four,Four,Four,rator-05
11/12/21 9:25,Room P,,,,,,,,ratee-38,Four,Four,Four,Four,Four,Four,#N/A,,,,,,,#N/A,,,,,,,rator-40
11/12/21 9:25,Room O,,Four,Four,Four,Four,Four,Four,ratee-39,Four,Four,Four,Four,Four,Three,ratee-46,Two,Three,Two,,One,Three,ratee-82,Three,Three,Three,Three,Two,Three,rator-04
11/12/21 9:26,Room O,,Four,Four,Four,Four,Four,Four,ratee-01,Four,Four,Four,Four,Four,Four,ratee-70,Four,Four,Four,Four,Four,Four,ratee-98,Four,Four,Four,Four,Four,Four,rator-44
11/12/21 9:27,Room O,,Four,Four,Four,Four,Four,Four,#N/A,Three,Four,Four,Four,Four,Four,ratee-71,Four,Four,Four,Four,Four,Four,ratee-99,Four,Four,Four,Four,Four,Four,rator-35
11/12/21 9:28,Room S,,Four,Three,Three,Three,Four,Two,ratee-40,Three,Three,Four,Three,Three,Three,ratee-36,Four,Four,Three,Three,Four,Three,#N/A,,,,,,,rator-31
11/12/21 9:31,Room M,,Four,Four,Four,Four,Three,Four,ratee-41,Four,Four,Four,Four,Four,Four,ratee-30,Four,Four,Four,Four,Four,Four,ratee-63,Four,Four,Four,Four,Four,Four,rator-45
11/12/21 20:31,Room N,,Four,Four,Four,Four,Four,Four,ratee-19,Four,Four,Four,Three,Four,Four,ratee-68,Four,Four,Three,Four,Three,Four,ratee-60,Four,Three,Four,Four,Four,Four,rator-09
