Title,Body,Rating,Date,Name
Horrible experience with this awful…,Horrible experience with this awful bank.Blaming my website for them holding money back.Well paypal guess what no more me as a customer I will never use PayPal again. I get that things need to be monitored but your staff couldn't care less about unimportant me. So thanks for 12 years but I'm done with your awkward ways and zero attempt to help me access my money what earned working hard for my clients. The fact you won't return the money to the clients is beyond me. So you keep my money have fun with it.,1,2023-09-21T23:30:02.000Z,Brett Taylor
They are scammers,"They are scammers, this story happend with me personal and with many many people i know. they will ban your account and hold your money for 180 days with no reason, they even don't tell you why no matter what ! and after the 180 days they may even take your money away. we are in 2023 and people still uses this scam company, there is many other good payment gateaway like Skrill and Payoneer. DON""T USE PAYPAL THEY WILL SCAM YOU ONE DAY!",1,2023-09-23T04:54:25.000Z,IE102850
Paypal has overall been great with…,"Paypal has overall been great with sending and receiving payments, until I needed to add another bank account to transact with. So, my complaint is mostly with the user interface on android. I could not figure out how to delete a bank account at first, so I just added another account to transact with. I specifically remember directing paypal to send the transaction to the new bank account but I guess the system defaulted to sending it to my old bank account. One day later, I checked to see if my money was there and it was not. I checked the app and it said it sent it to the old account. I am so angry about this! I finally figured out how to delete the old account but the user friendliness of this app absolutely sucks.",2,2023-09-22T23:59:43.000Z,Handy Rams
Don't Trust Them,Constantly chooses to uphold charges to criminals.  I imagine they're making a lot of money by people being defrauded.,1,2023-09-25T06:32:40.000Z,Unhappy Customer
PayPal is no longer what it used to be,"PayPal is no longer what it used to be, no buyer protection whatsoever. I lost over £200 due to undelivered purchase and PayPal just left me with this loss by refusing to refund my money. Absolutely disappointing! Avoid using PayPal!",1,2023-09-21T17:04:53.000Z,Dijana
Avoid at all cost! On several occasions I have contacted…,On several occasions I have contacted paypal to close my account! It is still open it’s nearly a month they still can’t do it! Avoid at all costs. As they take the payment then they send it back then you have to pay more because you were late with the payment. As I say it’s such a pain to close the account!!!,1,2023-09-24T06:01:02.000Z,Vio Za
No Customer Support,It is impossible to get any sort of support when you need it. In this world of hackers and unsavoury people continually attempting to gain access to out funds Paypal offer no customer support.,1,2023-09-22T23:56:34.000Z,Leanne
So so so bad,"So ive not used paypal for a while snd my phone number has changed..absolutely no help..the phone automated garbage doesnt even hear my damn phones key presses, the website asks if i have log in problems, i select yes and then takes me to the damn log in page!!!!!Oh my god !!!!!!!!AAARGGHHHHHHHHH !!!!!!!what a horrible company to deal with jesus give me strength",1,2023-09-19T16:48:00.000Z,Ashy Ayub
Had fraudulent activity via uber…,"Had fraudulent activity via uber eats...who I couldn't even speak to anyone...rang PayPal,  spoke to someone straight away, closed my account and refund the money....Will be opening a new account with a new email address",5,2023-09-22T21:26:34.000Z,Steve Walley
After 12 years of using PayPal I'm done,"After 12 years of using PayPal I'm done. Won't waste time writing a lengthy ""review"" just wanted to express my disappointment for the appalling customer service but this is what happens when you have call centers on the other side of the world run by people who couldn't care less about you or your problems. Buyer protection is a scam and doesn't actually protect you from fraudulent sellers. I will let my money talk and start to use alternative payment methods from now on.",1,2023-09-19T10:30:23.000Z,mustapha riaz
above and beyond support,i am a 17 year old girl with 0 tech knowledge and struggle to understand sometimes! however i called early and the team were very patient and understanding of my issue and we’re able to solve it within 20 minutes. thank you so much to the 2 women who helped me today! your help and patience was very much appreciated ❤️,5,2023-09-21T10:29:14.000Z,Emilie Jenkins
Appalling service on every level,"This company is appalling at dealing with service providers vs goods providers, and completely fails to respond effectively to complaints. I've had multiple conversations via email, chat and phone with assorted reps and the answers are an incredibly frustrating multiple choice array. At best, each one tells me that what the last one said didn't actually happen or isn't in the account. If I could find another way to get paid by clients in China, I'd be right on it.",1,2023-09-18T23:20:34.000Z,Kris Nelson
Would give them negative stars if…,"Would give them negative stars if possible. Ordered something online using my paypal since I thought they helped with fraud when it occurred. Well lo and behold, the clock I ordered was completely different from what was advertised and did not even function. When I tried to dispute this complete fraud with Paypal I was told to ship the product back to China for the cost of my refund and received no further help. Will never use paypal again in the future.",1,2023-09-18T21:42:49.000Z,Ryon Calhoun
They don't even deserve one star,"They don't even deserve one star, if there.was an option I would do minus one star! I opened a case I'm resolution centre, they takes ages to check it over, then they ask for information that can not be provided, like goods not received they want pics of and returns proof, how can you give pictures and returns proof of things not received, then they ask for some information that you don't understand so when you ask for them to explain what it is they are asking, they shut the case in favour of the merchant leaving the customer out of pocket.  I won't be using PayPal too much now as they seem to be Incompetent, to me it is simple if you dont receive goods you can't return them, therefore you can't produce a returns proof, and you are not liable to pay for goods you have not received, PayPal can't seen to grasp this concept!",1,2023-09-24T01:08:15.000Z,Customer
Fraudsters,I brought an item on eBay using pay in 3. I paid the first instalment but the item was defective. I returned the item to the seller and requested a refund of the £102 I paid. PayPal then requested another payment from me. I paid this as didn’t want a bad credit score. I raised a dispute and now PayPal are refusing to give me back the money I have paid. I have no goods as it was sent back but they are refusing to pay me because the seller hasn’t paid them. They used to be good but now are just total scam merchants. I have no goods so the seller is free to resell the item and I am out of pocket by £153.  Totally disgusting behaviour from such a big company. I am now in financial distress because of PayPal and their fraudulent scheme.,1,2023-09-22T00:33:19.000Z,Mariea Cawthorne
I'd give no stars,"I'd give no stars, but it won't let me. Someone charged my account about $800 dollars, it was fraudulent and unauthorized. They admitted it was, indeed, stating the charge was from an cryptic, undisclosed location; I immediately told them to cancel the transaction and CLOSE my account. I have never had the ability to log into the account. I have never purchased anything using PayPal. Every time I call customer service to close my account, no one answers.",1,2023-09-18T17:39:49.000Z,Holden
If I could give them a zero I would,"If I could give them a zero I would. IF YOU THINK PAY PAL IS A TRUSTED A RELIABLE PAYMENT SOURCE - FORGET IT! THEY ARE NOT! I YOU THINK THAT THEY HAVE THE RESOLUTION SERVICE THAT THEY CLAIM THEY HAVE! THEY DO NOT! MAYBE THEY DON’T UNDERSTAND ENGLISH BUT THEIR SYSTEM IS FLAWED AND THEY NEGLECT THE FACTS IN THE DISPUTES SO YOU WILL NEVER HAVE A CHANCE AT A FAIR RESOLUTION. SO NEVER USE PAYPAL AS A PAYMENT METHOD BUT IF YOU ABSOLUTELY HAVE TO, THEN YOU MUST USE A CREDIT THAT OFFERS YOU SECURITY PROTECTION AGAINST DISPUTED SALES OR YOU WILL GET RIPPED OFF!! TRUST ME, I KNOW. I LOST OVER $200!",1,2023-09-19T22:58:28.000Z,Lisa Schiller
Pay Pal a Hackers Dream,"Pay Pal takes so long to respond to anybody they are a hackers dream come true. I recently asked Google search for pay pals customer support info and got a phone number in response. Only it was not pay pals number it went straight to hackers. I became a little worried  and tried to verify this was indeed a pay pal customer service agent. But pay pal only responds to anyone when it's convenient for pay pal. What a shame, they want to be a financial player but they don't want to spend any money on security. Pay Pal is no longer worth the time it takes to communicate with them and I will not miss them at all. Delete Pay Pal",1,2023-09-20T08:53:30.000Z,Steve
Paypal has stolen money from us my…,"Paypal has stolen money from us my deducting a charge 4 times, I cannot get through to anyone to resolve this and when I have spoken to someone they just put me on hold forever. Seems Paypal has become a thief and their customer service is so bad there does not seem to be anything I can do about. this has been part of an ongoing problem of paypal given us the wrong information 4 times and now they have devastated our account by charging us 4 times for the same thing.",1,2023-09-19T07:50:09.000Z,Gregory
PayPal is now keeping money on you,PayPal is now keeping money on you. Someone sent me $500 and PayPal kept $185 on hold saying it’s probably a new account with this guy has a business for over 20 years including myself. Don’t trust PayPal anymore for getting money.,1,2023-09-17T15:34:38.000Z,Daniel Santo
PayPal has fraudulent use of app and…,PayPal has fraudulent use of app and lied to me .  Illegally with held my money from me for over 10 days .  I emailed corporate customer relations and got no answer.  Someone needs to make some changes in their way of managing our money.,1,2023-09-19T04:56:57.000Z,Kathy Pitt
End of my longterm relationship with PaypalI,"I have been using Paypal for several years when making a purchase.  I will not use them ever again because recently I bought an item from Wowcher and paid by Paypal. The item never arrived mainly due to me not understanding how Wowcher worked which resulted in me not getting the item which I had paid for. I could not get in touch with Wowcher, no surprise there, as we live in a world where there is less and less contact with humans.  I then got in touch with Paypal and they were hopeless, could do nothing to help me.  So that is my relationship done with them.  I cannot see the benefit of their service.  Thankfully I paid by credit card and called them who sorted it out immediately.  Now today Wowcher after my review on Trustpilot about my experience with them have refunded me my monies in full.  What a shambles we all are responsible for buying on line and closing all our lovely high street shops.  Many in small towns are family owned businesses and there is where you get the very best customer service.  We should not forget this.  We are creating a world where humans are being pushed out in favour of greed and faceless businesses that make it impossible to make contact with them.  That is the last thing they want is to hear from a human being with a complaint.",1,2023-09-22T16:08:30.000Z,Jayne Anne O'Flynn
Can't close to avoid inactive charges,"Had a notification that I am going to be charged for inactivity. Tried to cancel account, but impossible. Keep getting message saying cannot do it at this time. Can't remove my card either. Dodgy.",1,2023-09-17T15:55:26.000Z,Sean
Do not use PayPal.,I give it one star because I can't give zero stars. I will never buy anything through paypal agin.  They do not protect you from bad merchants and you waste your time filing a dispute. It is better to find another company that is not PayPal. It is a terrible company to deal with.,1,2023-09-19T05:37:06.000Z,Thelma Lacayo
They are not good…… someone charged my…,They are not good…… someone charged my account for 542 I tried to report it and tell them that it’s wasn’t me to they tell tell me to at I new the person that’s charge my account and im calling u guys now about what’s goin on they are very very bad…..never again with pay pal,1,2023-09-18T23:13:44.000Z,Stefhon Toliver
Used since 2001 and went tits up,"I've been using paypal since 2001 and between them using increasingly hefty percentages on any transaction while offering increasingly less service (or ever responding to anything for that matter), today I received a message 'Your funds may be blocked for up to 21 days' due to me doing some activity and as explanation 'We need to learn more about you' - I've been with you for 20 years, you have my card info, my accounts, and even recently forced me to upload an ID, and have gladly taken hundreds to thousands on percentages? So now they hold your funds for weeks. Emailed, no response. Imagine your bank doing this 'Oh sure, yeah, you got paid from work - Thing is luv, we don't REALLY know each other well enuff do we, so Imma just gonna hold on to all these savings for a bit until we do, aight?'",1,2023-09-19T18:13:29.000Z,Bart Dujardin
Find A diffrent Company!,"I placed an order for an item and felt I was safe as I was able to pay with PayPal, turns out I was wrong. The item was not as described and I requested a refund. I provided the following information; a copy of the receipt, a picture of the item in comparison to another item to show it was not as described, and the information for the real item that the seller copied/imitated. This was not good enough and PayPal denied my request for a refund three times because they could not find the original listing for the item as the seller pulled it down when I filed the dispute. On top of this, the last person I spoke with from PayPal customer support was extremely rude and unhelpful. Apparently on top of the information I already provided I needed the listing of the item too.  This is a MASSIVE flaw in Paypal's system that this seller was aware of and took advantage of. Until PayPal fixes this I highly recommend using a different payment company.",1,2023-09-20T23:16:56.000Z,Alex Medoff
Protects thieves and scammers.,"Protects thieves and scammers.I was buying a product on the internet. Product was only partially delivered and seller will not deliver the rest or refund.Went through paypals dispute/refund system. Provided all evidence of the scam and even that other customers had been scammed.However, paypal decides to protect the criminals and screw the victim and their customer.Stay as far away as farking possible from this absolute despicable and criminal company.",1,2023-09-15T16:53:57.000Z,Henrik
PyPal experience to Monty Python sketch,"After a month arguing with PayPal at last a result. After 20 hours on the phone, being summarily cut off, put on hold for over an hour or passed to another agent who had no Idea why I was phoning I got a resolution after insisting I spoke to a Manager. All started after an inadequate ""investigation"" when they, while re- imbursing me my lost money and thereby acknowledging the SCAMMERS they co- incidentally paid the SCAMMERS another £200. They then had the temerity to threaten me with Debt Collectors when I refused to pay them the money THEY paid out from my FROZEN account.",1,2023-09-18T13:49:41.000Z,Peter Clark
PayPal is a scammers paradise…,"They are allowing scammers to take advantage of people, and then doing nothing about it. They took my money and they have links like 'resolution center' which does nothing when the scam is obscure. Trying to get them to address the issue is hardly worth the money they helped steal, and I suspect that is part of the scam. I absolutely despise PayPal, and it should be thoroughly investigated.",1,2023-09-16T01:14:59.000Z,Terry Hubbard
Terrible company,"Terrible company, zero customer service, i was left unable to update my direct debit and it kept trying an old account, after several failed attempts a staff member finally managed it for me via phone. For the sake of £8 i have now been left with a negative footprint on my credit file due to something that was not my fault. I have written to paypal to explain and ask them to please remove the mark and have been met with absolutely no decency at all. This company do not care about its customers!!! AVOID!",1,2023-09-16T04:05:32.000Z,Louise Foster
No security for your money with PayPal,"Unauthorised payment gone from my account to Uber Payments (I never have an account with Uber or used before). As soon as the notification came from the paypal that you authorised £77.23 I informed Paypal to stop the payment. They promised to do so. But after 2 days money deducted from my bank. Several times I contacted paypal and each time they told they will investigate. Finally they closed the investigation saying there is no unauthorised payment. What a Joke?So according to my experience using paypal is risk for your money, customer service won't help you at all. Even if you notice an unauthorised payment there is no way in App or Online to inform or stop the payment. Paypal a heaven for frauds and scammers.",1,2023-09-18T13:46:19.000Z,JT P
Abusive female operators at PayPal,Abusive female operators at PayPal who lie and do not give you your money back when you open a case. Will not be using again,1,2023-09-19T15:03:14.000Z,Fiona Perry
Paypal is run by f-ing morons,"I cannot log into my account without getting a OTP sent to my mobile phone.  Unfortunately,I lost my phone and had to change my number.  I can't log into my account to change the number.I also cannot update new card details.I am now stuck with a paypal account I cvan't use.I tried to contact paypal by email, and their reply was to put the anser on a message board, that I need to log into to access.",1,2023-09-16T03:03:39.000Z,Richard Cox
Restriction,"Created my account and immediately it got permanently restricted. I have been trying to fix it for a year and finally after a year and a half they submit an appeal for me and it gets instantly rejected, when I didn't do anything to cause the closure because I had just opened the account.",1,2023-09-20T13:46:25.000Z,Sunshinesnekdeceit
Preventing from closing account!,"There is tiny outstanding balance on my account. Tried to transfer to card - error. Tried to transfer to bank account - error. I am not using account at all, thank God that eBay has stopped using them. Now got message that will try to charge me 7 pounds per month. I don't want you, just close account and keep this 3 pounds, not bothered. I logged complaint, still no response!",1,2023-09-16T15:00:55.000Z,Lukas Thomes
Paypal does not protect buyer  better using  your credit card direct,Bought an item that arrived by pallet . Item was not what was purchased and also damaged badly . Sent photos to PayPal and opened dispute  which clearly shows what I was buying and the damage and what arrived . I then was gobsmacked when I was told I had to pay for the pallet return at a cost of over half of the £200 purchase and that was at my expense  . Thats not buyer protection that’s just protecting the seller who basically can send goods different from your purchase knowing it’s not worth sending back . NEVER use PayPal use the credit card direct as you have way more protection.,1,2023-09-14T10:42:31.000Z,Ajay
PayPal are the scammers,This currency giant has provided me no support in retrieving my USD6000 from a scammer named Hilmar Gardarsson from IcelandInstead I feel I am the scammer. They want me to lodge a police report from Australia and send to them within a week. From Australia via Iceland to the US.They just want to protect their obscene profits by ripping off customers like meSomeone should start an investigation into their profit gleaning schemes,1,2023-09-11T12:29:47.000Z,Bryan McNally
Never trust PayPal with your money.,"Never trust your money with PayPal. Even if you call and tell them, that you are being scammed through their app. They, will still allow, the scammer to scam someone, out of money. They will go ahead and pay the scammer, even though they were told that they were a scam. So don't trust your money with PayPal, because it's not safe. The scammer was scamming me out of $504. And PayPal took it up on themselves to go into my account and take out $100, out of account that was closed down. And then they paid $390 of their own money knowing that it was a scam because, They had been told, for 4 weeks before they released the money, to the scammer. It's better to get yourself a credit card to pay for your purchases online. That way you don't get scammed or ripped off. Like you would if you were dealing with PayPal. And this was after, PayPal allowed them to scam me out of $1,000, and see nothing wrong with it, because they allow scammers to scam you. Because that's their policy. To allow your bank to be someone else's, way of profiting off of you. When it was all said and done I was scammed for over $2,000. So don't allow PayPal to let this happen to you.",1,2023-09-23T02:24:37.000Z,Patricia Ray
Paypal,I have been using PayPal for 15 years and in all that time I have opened two disputes for non arrival of goods (small amounts) so not a great loss but luckily PP refunded me. I use PayPal almost daily as I shop ALOT. It is so convenient when shopping online and have actually not bought items from unfamiliar websites because they don’t use it for payment and I prefer to have the protection it offers. I can’t understand the amount of negative reviews. I have had too many transactions to count and had thousands upon thousands of pounds go through my PayPal account without issue,5,2023-09-15T10:35:01.000Z,A M B
Use any other service but not this one,"Use any other service but not this one! For the third time in raw they suspend payments for no reason. Yesterday they send me email claiming that my customer violates their security ( I sell handmade bags!) So what kind of security they mean, I have no idea!",1,2023-09-13T13:49:24.000Z,Ramius Mantas
PURE RIP OFF,PURE RIP OFFWhat company charges for inactivity????And if you want to delete your account you have to ask customer service.PURE SCAM,1,2023-09-19T17:17:59.000Z,Mireille Lantshoght
Very functional,"My overall experience with PayPal as a buyer is pretty positive. And of course as a seller it’s going to be more difficult as you have too build a basis for yourself so you can come across as trust worthy. It seems the app really has a no scammer policy for the most part, and I believe most disputes are opened and handles fairly if not a bit extended and over due. I think that the buyer protection is a very amazing option that not many other concealed cash apps have, and I think the app has very good security for the most part.",4,2023-09-13T08:18:22.000Z,Doug
Use PayPal with extreme caution,"Fur Babies Rescue is a very small domestic animal rescue in Hickory, NC. 100% of all funds received into the rescue are used to make the lives of domestic animals better. This is an organization run by volunteers. No one takes a salary or receives any financial compensation. All of our volunteers are local professionals working together to make our community better.  Fur Babies Rescue had used PayPal to accept donations and also use it for a fundraising tool. We found out the hard way that PayPal can freeze an account and hold the money for 180 days. The account was frozen and now PayPal has control of $1,693.22 of the rescue’s funds. Those funds were going to help spay/neuter and vaccinate approximately 20 animals in need. We had to cancel the trip to the spay clinic that was scheduled for September 20, 2023. We should have done our homework before signing up to use PayPal. If you Google “PayPal froze my account” you will find many horror stories and lawsuits because PayPal froze accounts. There isn’t an easy way to dispute the account freeze or get help from PayPal. If we were a larger group with national support we could possibly fight it but we are just a small group of volunteers. We will have to work harder to raise more money and hope we get that money back from PayPal at the end of the 180 days.   This is not the way to treat a small 501(c)(3) nonprofit. I hope others learn about this issue and protect their money from PayPal. Fur Babies Rescue Hickory, NC501(c)(3) nonprofit EIN #86-3712647",1,2023-09-20T04:30:23.000Z,Meredith Carswell
I had someone called jae help with some…,"I had someone called jae help with some issues with my account, they were very helpful and waited on the line to help with steps. Jae was so patient and that’s really appreciated!",5,2023-09-20T10:13:12.000Z,Courtney-paige Elston
Paypal will rip you off.,"This paypal company supports a third party company called Click Wu LLC, whereby Click Wu LLC charges you unauthorized payments when you think you're purchasing other products. When you contact Click Wu LLC, you will receive no response, and when you contact paypal they will support this piece of crap company and refuse to refund your money. Neither company supports customers. Do not be fooled by fb ads for anything, especially political crap. They're all in collusion to rip you off.",1,2023-09-08T02:11:06.000Z,Alicen Sosnowski
Customer service is horrible,"Customer service is horrible. They will lie to you. Then when you try to send somebody money they hold the money for up to over a week and that’s not what you’re wanting to do when you send somebody money on PayPal you want it to go through immediately instead of them sitting on the money instead of PayPal, sitting on the money and collecting the interest. Now they are making you load money into PayPal so that you can use your debit card just another rate for them to make money off of you and interest. You’re better off with your bank or regular credit card. PayPal froze my account because my credit card company realized before me that somebody had stole my wallet and my phone out of my purse and was committing fraud. All of my credit card companies and my bank understood this and immediately turn down the charges PayPal is trying to make me pay the charges that went through that were fraudulent. They are the only company that has given me any trouble and they have giving me trouble day after day after day they will not even allow me to close my account.",1,2023-09-17T21:13:26.000Z,Nancy Smith
Incompetent,absolutely horrible service from paypal over a 5 EUR transaction which they keep refusing to credit to my account. Keep making excuses and provide different reasons every time I contact them. incompetent customer service staff who do not know what they are doing. I have given up!! Stay away from this mess.,1,2023-09-11T09:37:50.000Z,Rishi
DONT USE PAYPAL!!!!,Ok so I have had a business account with PayPal for over about 10 years I belive. I have had nothing but problems since I opened the account. I used PayPal for the last time over a week ago and man was that a Big mistake! So since then they have decided to permanently close my account WHILE I HAVE $195.00 in my account and are saying I can't access it for 120 days! Everytime I call someone new answers and tells me something different.,1,2023-09-14T18:43:23.000Z,Kassidy Gaston
PayPal is not great for business accounts,"As a Shopify store owner, I thought using PayPal to accept payment for my items would be great. After losing the first payment, I thought it was my fault, and I accepted the blame and sent the customer the item anyway. Now, I am in the same boat again with PayPal for a more significant amount. After a week of going back and forth between who was at fault with Shopify and PayPal, I am still without the payment and the items once again has been shipped. I will no longer offer PayPal in my store as a means of payment. Nobody seems to know where the money magically went to. Please do not add PayPal if you can help it.",1,2023-09-14T04:26:44.000Z,Rochelle Jackson
This company is a SCAMMER and a joke,"This company is a SCAMMER and a joke! I had two verified email addresses on file, I verified address and bank account. I lost a number so I couldn’t get verification codes on it. These id&&ts after one hr we’re demanding I send them my photo ID to change a number when they could’ve sent me codes to my email address. I refused as they’re not the government I don’t know who they are and I’m not sending my ID next thing you know your ID is sold to those fake passport people. I’d avoid this scammer of a company.",1,2023-09-12T15:01:59.000Z,Realbuyer
I have NEVER dealt with such a horrible…,I have NEVER dealt with such a horrible company. I can't get any help with anything and they have my money and won't give me access to it. Is there any kind of class action against them?,1,2023-09-20T19:55:51.000Z,Robin Williamson
LOSS OF TRUST IN PAYPAL,"I have used PayPal for many years when making online purchases.  I trusted this service completely until recently when two online transactions, totalling £133,80 were debited by PayPal from my bank account.I did not order/agree to buy the goods in question.  Nor did I authorise the debits for such from my account.  The goods were unsolicited; the payments unauthorised.I notified the seller, Label Products, and PayPal of these unsolicited goods and the unauthorised payments for such via PayPal.  I informed both parties that my intention was to return the goods and seek a full refund.What followed comprised poor management of a customer's concerns by Label Products and, more disappointingly, PayPal.In essence, both parties inferred I was being less than truthful about my claim.  The seller argued the two sales were legitimate.  Paypal's resolution facility determined the debits were authorised.Label Products then embarked on a path to convince me not to return the goods by offering me a 20% discount on the purchases.  I refused as I did not want or order the items, or authorise the payment for them.  This was followed up by a further offer of a 30% discount if I kept the unsolicited goods.  I refused and advised that, as they were not listening to me, I would pursue the matter through the small claims court.It was after this response to the seller, that I was contacted by PayPal.  Surprisingly, they stated that, following my appeal, they now considered the transactions were unauthorised and they would refund my payments in full.Whilst happy the correct decision had been made - eventually, I was somewhat confused regarding the sudden u-turn by PayPal. Also, I had not appealed their original decision as inferred by PayPal, as I was considering my options.I still await an explanation from PayPal why a decision that the debits were authorised was changed to their present unauthorised status.When I queried PayPal about when the refund would be made, they responded by saying they had no knowledge of my refund.Later that day, however, I received a refund from PayPal for the full amount.I still await further contact from the seller relative to the return of the unsolicited goods.I have lost all trust in PayPal after these events.  They have been less than transparent with me over this whole fiasco.I have since emailed PayPal's enquiries section and stated my intention to close my account with the company. No response received.I have attempted, in vain, to close my PayPal account via their app.  On each of eight occasions, over several days, I was confronted with the message, 'We are sorry we are not able to process your request.  Please try again in a little while.'I have contacted PayPal's enquiries section again and given notification that, with immediate effect, I was closing my account and they were no longer authorised access to any of my bank accounts. I have waited more than, '.. a little while...' for Paypal's explanation why they initially declared the debits authorised, then changed their finding to unauthorised.  Also, I have had no contact from them to confirm the closure of my account.",1,2023-09-25T14:38:03.000Z,Peter Milne
Currently homeless and had to sell my…,Currently homeless and had to sell my phone and bought a lesser one when i had money come in.Due to paypal overzealous stuipid security i had get funds from friends now so no food or shelter for me.,1,2023-09-13T15:49:22.000Z,Seamus O'Toole
PayPal seriously needs to find a…,PayPal seriously needs to find a different business other than the financial industry.i have tried to buy Bitcoin an cannot cos there system cannot decide on debt card validation an you call an they have no clue on fixing it. An adding money to PayPal with debit card forget that its a joke foresure. I recommend that people find a different service. PayPal is horrible,1,2023-09-10T07:52:16.000Z,Kenneth Ashby
What the hell has happened with this company?!,"10 years ago this company was 5 stars. Now, it’s 2 stars which is pushing it. Anyone who has been with PayPal for as long as I and even longer will understand my review.",2,2023-09-23T04:48:47.000Z,Joshua
PayPal is no longer the safe and…,PayPal is no longer the safe and reliable service that it once was. Up until now I have used PayPal under the assumption that I had some level of buyer protection. My recent experience when has confirmed that this 100% no longer the case. I will not be using the service again.,2,2023-09-12T21:52:24.000Z,Alan Phillip
Awful,Stupid company Failed my credit check and damaged my credit for mo reason ! Apparently you can get mortgages but your credit checks fails there !!!,1,2023-09-15T08:38:08.000Z,Sam
